id,nom,editeur,categorie,acces,licence,maturite,surfaces,local,cloud,politique_modeles,terminal,ide,web,computer_use,mcp,acp,skills,sous_agents,memoire,sandbox,orchestration,usage_principal,source_principale,type_source,notes,confiance,verifie_le,definition_categorie,est_harness,remarque_categorie
buzz-acp,buzz-acp,Block,Agent bridge,Open source,Apache-2.0,Actif,Desktop · Web · CLI · Serveur selon produit,Oui,Variable,Agent-agnostic,Oui,Variable,Oui,Non,Variable,Souvent,Hérite des agents,Plusieurs agents,Sessions / état,Worktrees / VM / conteneurs,Oui,Pont Buzz vers tout agent ACP,https://github.com/block/buzz,Primaire / dépôt,,Élevée,2026-08-29,Adaptateur qui relie un workspace ou un protocole à d'autres agents.,Adjacent,Ne remplace pas le harness sous-jacent
gitlab-duo-agent-platform,GitLab Duo Agent Platform,GitLab,Agent platform,Propriétaire,Commerciale,Actif,GitLab · IDE · CI,Partiel,Oui,Multi-modèle via GitLab,Non,Oui,Non,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Oui,DevSecOps et workflows spécialisés,https://docs.gitlab.com/user/duo_agent_platform/,Primaire / dépôt,,Élevée,2026-08-29,Plateforme produit qui embarque plusieurs agents dans un workflow métier.,"Oui, couche supérieure",Proche d'un meta-harness; ancré dans une forge ou une suite
deepseek-harness,DeepSeek Harness,DeepSeek,Agent runtime,Open source,MIT,Developer preview,CLI · Web · Runtime à plugins,Oui,Optionnel,"Multi-modèle, DeepSeek natif",Oui,Non,Oui,Non,Plugins,En évolution,Oui,Oui,Sessions append-only,Plugin,Oui,Composer des harnesses et exécuter un coding agent,https://github.com/deepseek-ai/deepseek-harness,Primaire / dépôt,"Modes Standard, Code, Minimal et Creator; API encore mouvante.",Élevée,2026-08-29,"Infrastructure programmable pour composer outils, mémoire et boucles.",Oui,Peut aussi livrer un agent prêt à l'emploi
openhands,OpenHands,OpenHands,Agent runtime,Open source / hybride,MIT pour le cœur,Actif,CLI · Web · SDK · Agent Canvas,Oui,Oui,Multi-modèle / local,Oui,Via ACP,Oui,Navigateur,Oui,Oui,Oui,Oui,Oui,Docker/VM/local,Oui,Agents de software engineering et automatisations,https://github.com/OpenHands/OpenHands,Primaire / dépôt,,Élevée,2026-08-29,"Infrastructure programmable pour composer outils, mémoire et boucles.",Oui,Peut aussi livrer un agent prêt à l'emploi
openharness,OpenHarness,HKUDS,Agent runtime,Open source,MIT,Actif,CLI · Runtime,Oui,Optionnel,Multi-modèle,Oui,Non,Non,Non,Oui,Inconnu / non documenté,Oui,Oui,Oui,Configurable,Oui,"Construire des agents à outils, skills et mémoire",https://github.com/HKUDS/OpenHarness,Primaire / dépôt,,Élevée,2026-08-29,"Infrastructure programmable pour composer outils, mémoire et boucles.",Oui,Peut aussi livrer un agent prêt à l'emploi
antigravity-cli-ide,Antigravity CLI / IDE,Google,Agentic IDE,Propriétaire,Commerciale,Actif,IDE · CLI · Cloud,Oui,Oui,Gemini / Google,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Inconnu / non documenté,Inconnu / non documenté,Oui,Développement multi-agent,https://github.github.com/spec-kit/reference/integrations.html,Primaire / dépôt,,Moyenne,2026-08-29,Éditeur intégrant un harness et des outils IDE.,Oui,Le harness peut être invisible ou propriétaire
blackbox-ai-agent,Blackbox AI Agent,Blackbox AI,Agentic IDE,Propriétaire,Commerciale,Actif,IDE · Web · CLI,Partiel,Oui,Blackbox / multi-modèle,Oui,Oui,Oui,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Développement et recherche de code,https://www.blackbox.ai/,Secondaire / index,,Élevée,2026-08-29,Éditeur intégrant un harness et des outils IDE.,Oui,Le harness peut être invisible ou propriétaire
cursor-agent,Cursor Agent,Cursor,Agentic IDE,Propriétaire,Commerciale,Actif,IDE · CLI · Headless · Cloud,Oui,Oui,Multi-modèle via Cursor,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Rules + sessions,Permissions,Oui,Développement interactif et agents distants,https://cursor.com/docs/agent/overview,Secondaire / index,,Élevée,2026-08-29,Éditeur intégrant un harness et des outils IDE.,Oui,Le harness peut être invisible ou propriétaire
kiro,Kiro,AWS,Agentic IDE,Propriétaire,Commerciale,Actif,IDE · CLI · Web · Mobile,Partiel,Oui,AWS / multi-modèle,Oui,Oui,Oui,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Développement guidé par spécifications,https://kiro.dev/docs/,Secondaire / index,,Élevée,2026-08-29,Éditeur intégrant un harness et des outils IDE.,Oui,Le harness peut être invisible ou propriétaire
qoder,Qoder,Alibaba,Agentic IDE,Propriétaire,Commerciale,Actif,IDE · CLI,Partiel,Oui,Alibaba / multi-modèle,Oui,Oui,Non,Non,Variable,Inconnu / non documenté,Variable,Variable,Variable,Géré / variable,Variable,Développement agentique,https://cli.github.com/manual/gh_skill_install,Primaire / dépôt,,Moyenne,2026-08-29,Éditeur intégrant un harness et des outils IDE.,Oui,Le harness peut être invisible ou propriétaire
